"Color","Tipo","Evento","Inicio","Fin","Sala"
"#00ff6d","Cátedra","Diplomado en Gestión e Innovación Tecnológica 2024","09:00","13:30","307-C"
"#00ff6d","Cátedra","ECONOMÍA MATEMÁTICA Sec.1 Prof.MARTINOVIC,H.","09:00","11:30","306-A"
"#00ff6d","Cátedra","ECONOMÍA MATEMÁTICA Sec.2 Prof.MARTINOVIC,H.","09:00","11:30","307-A"
"#00ff6d","Cátedra","FAB 2: PROGRAMACIÓN GENERATIVA  Sec.1 Prof.VERGARA,M.","09:00","13:00","LAB.103-D"
"#00ff6d","Cátedra","FIC","09:00","13:30","303-C"
"#00ff6d","Cátedra","MATEMÁTICAS AVANZADAS I Sec.1 Prof.RIVEROS,F.","09:00","11:30","109-A"
"#00ff6d","Cátedra","MATEMÁTICAS AVANZADAS I Sec.2 Prof.PAZ,Á.","09:00","11:30","111-A"
"#00ff6d","Cátedra","MATEMÁTICAS AVANZADAS I Sec.3 Prof.JARA,P.","09:00","11:30","209-A"
"#00ff6d","Cátedra","MATEMÁTICAS AVANZADAS I Sec.4 Prof.ISAKSON,A.","09:00","11:30","206-A"
"#00ff6d","Cátedra","MATEMÁTICAS AVANZADAS II Sec.1 Prof.RIVEROS,F.","09:00","11:30","204-A"
"#00ff6d","Cátedra","MATEMÁTICAS AVANZADAS II Sec.2 Prof.TORRES,J.","09:00","11:30","101-B"
"#00ff6d","Cátedra","MATEMÁTICAS AVANZADAS II Sec.3 Prof.BARILE,V.","09:00","11:30","110-A"
"#00ff6d","Cátedra","MATEMÁTICAS AVANZADAS II Sec.4 Prof.TORRES,J.","09:00","11:30","102-B"
"#00ff6d","Cátedra","MATEMÁTICAS AVANZADAS II Sec.5 Prof.GONZÁLEZ,P.","09:00","11:30","107-A"
"#00ff6d","Cátedra","MATEMÁTICAS AVANZADAS II Sec.6 Prof.OSSES,D.","09:00","11:30","202-B"
"#00ff6d","Cátedra","MATEMÁTICAS AVANZADAS II Sec.7 Prof.PAZ,Á.","09:00","11:30","303-A"
"#00ff6d","Cátedra","MATEMÁTICAS AVANZADAS II Sec.9 Prof.RIVEROS,F.","09:00","11:30","101-A"
"#00ff6d","Cátedra","MCDO 2023","09:00","19:30","305-C"
"#00ff6d","Cátedra","MCDO 2024","09:00","20:30","304-C"
"#00ff6d","Cátedra","METODOS CUANTITATIVOS Y NUMERICOS PARA ECONOMIA Sec.1 Prof.TORRES,J.","09:00","11:30","103-B"
"#00ff6d","Cátedra","MGET 2024","09:00","13:30","201-C"
"#00ff6d","Cátedra","MII 2023","09:00","13:30","202-C"
"#00ff6d","Cátedra","PROCESOS INDUSTRIALES Sec.1 Prof.CAMPOS,L.","09:00","11:30","203-A"
"#00ff6d","Cátedra","PROCESOS INDUSTRIALES Sec.2 Prof.CAMPOS,L.","09:00","11:30","302-A"
"#00ff6d","Cátedra","PROCESOS INDUSTRIALES Sec.3 Prof.THOMSEN,M.","09:00","11:30","103-A"
"#00ff6d","Cátedra","PROCESOS INDUSTRIALES Sec.4 Prof.ÁVILA,C.","09:00","11:30","305-A"
"#00ff6d","Cátedra","PROCESOS INDUSTRIALES Sec.5 Prof.ÁVILA,C.","09:00","11:30","310-A"
"#00ff6d","Cátedra","TERMODINÁMICA Sec.1 Prof.CAMPOS,L.","09:00","11:30","106-A"
"#00ff6d","Cátedra","ÁLGEBRA Sec.1 Prof.MONTEALEGRE,P.","09:00","11:30","104-A"
"#00ff6d","Cátedra","ÁLGEBRA Sec.2 Prof.MARTÍNEZ,C.","09:00","11:30","105-A"
"#00ff6d","Cátedra","ÁLGEBRA Sec.3 Prof.ROJAS,F.","09:00","11:30","205-A"
"#00ff6d","Cátedra","DPM 2","15:00","19:30","303-C"
"#00ff6d","Cátedra","Diplomado en Gestión de Operaciones y Analítica 2023","15:00","19:30","307-C"
"#00ff6d","Cátedra","MII 2023","15:00","19:30","202-C"
"#00ff6d","Cátedra","POR FAVOR PAGAR ANTES DE EXISTIR: DEUDA Y SUBJETIVIDAD EN EL MUNDO CONTEMPORÁNEO Sec.1 Prof.FARÍAS ,R.","15:30","16:40","010-B"